label,email_text
legitimate,"Flash Sale! 24 hours only - act now and save 40% on your next order. Shop now at our official store before midnight."
legitimate,"Your cart is waiting! Limited time offer: free shipping expires soon. Complete your order at checkout.example.com/cart"
legitimate,"Reminder: your free trial expires today. Upgrade now to keep access to all premium features, no action required if you'd rather let it lapse."
legitimate,"Important notice: our office will be closed for the holidays from Dec 24 to Jan 2. Please plan your orders accordingly."
legitimate,"Last chance! Doors close tonight for our biggest sale of the year. Act now before it's gone."
legitimate,"Your monthly newsletter: 5 productivity tips, a customer spotlight, and upcoming webinars. Read more at our blog."
legitimate,"Thank you for your recent purchase. Your order has shipped and should arrive within 3-5 business days."
legitimate,"We've updated our privacy policy, effective immediately. No action is required from you; the changes simply clarify existing practices."
legitimate,"Weekend only: extra 20% off sitewide. Use code WEEKEND20 at checkout. Offer valid through Sunday at midnight."
legitimate,"Your subscription renews soon. Manage your plan or update payment details anytime from your account settings."
